symbol,signal,horizon,n_on,mean_on,mean_off,diff,t_stat,win_rate_on
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_BID_LVL1_P95,30,2111,0.1874,-0.3748,0.5622,0.4,0.493
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_ASK_LVL1_P95,30,2110,-0.1931,-0.346,0.1529,0.11,0.488
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_BID_LVL1_P99,30,2111,0.1874,-0.3748,0.5622,0.4,0.493
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_ASK_LVL1_P99,30,2110,-0.1931,-0.346,0.1529,0.11,0.488
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_BID_LVL1_P95,100,2108,-0.592,-1.0873,0.4952,0.2,0.489
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_ASK_LVL1_P95,100,2107,-1.4476,-1.0224,-0.4252,-0.17,0.488
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_BID_LVL1_P99,100,2108,-0.592,-1.0873,0.4952,0.2,0.489
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_ASK_LVL1_P99,100,2107,-1.4476,-1.0224,-0.4252,-0.17,0.488
GALAXY_SOUNDS_PLANETARY_RINGS,TRADE_BIG_P95(>=4),1,179,-0.0587,-0.4973,0.4386,0.47,0.486
GALAXY_SOUNDS_PLANETARY_RINGS,TRADE_BIG_P95(>=4),5,179,-1.3966,-0.5153,-0.8813,-0.44,0.48
GALAXY_SOUNDS_PLANETARY_RINGS,TRADE_BIG_P95(>=4),10,179,1.2179,0.0335,1.1844,0.4,0.486
GALAXY_SOUNDS_PLANETARY_RINGS,TRADE_BIG_P95(>=4),30,179,1.1341,-3.096,4.2301,0.79,0.48
GALAXY_SOUNDS_PLANETARY_RINGS,TRADE_BIG_P95(>=4),100,177,-7.9209,-12.2464,4.3255,0.47,0.441
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_BID_LVL1_P95,1,2113,0.0442,0.0262,0.0181,0.07,0.487
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_ASK_LVL1_P95,1,2112,-0.0902,0.0363,-0.1265,-0.51,0.482
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_BID_LVL1_P99,1,2113,0.0442,0.0262,0.0181,0.07,0.487
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_ASK_LVL1_P99,1,2112,-0.0902,0.0363,-0.1265,-0.51,0.482
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_BID_LVL1_P95,5,2113,-0.371,0.1685,-0.5395,-0.97,0.487
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_ASK_LVL1_P95,5,2112,-0.5869,0.1848,-0.7717,-1.4,0.485
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_BID_LVL1_P99,5,2113,-0.371,0.1685,-0.5395,-0.97,0.487
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_ASK_LVL1_P99,5,2112,-0.5869,0.1848,-0.7717,-1.4,0.485
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_BID_LVL1_P95,10,2113,0.2357,0.2542,-0.0185,-0.02,0.488
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_ASK_LVL1_P95,10,2112,-0.0895,0.2788,-0.3683,-0.48,0.484
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_BID_LVL1_P99,10,2113,0.2357,0.2542,-0.0185,-0.02,0.488
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_ASK_LVL1_P99,10,2112,-0.0895,0.2788,-0.3683,-0.48,0.484
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_BID_LVL1_P95,30,2111,-0.1009,0.7988,-0.8997,-0.67,0.488
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_ASK_LVL1_P95,30,2110,-0.3725,0.8193,-1.1918,-0.88,0.485
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_BID_LVL1_P99,30,2111,-0.1009,0.7988,-0.8997,-0.67,0.488
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_ASK_LVL1_P99,30,2110,-0.3725,0.8193,-1.1918,-0.88,0.485
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_BID_LVL1_P95,100,2108,1.1447,2.3657,-1.221,-0.5,0.519
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_ASK_LVL1_P95,100,2107,0.5396,2.4115,-1.8719,-0.76,0.517
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_BID_LVL1_P99,100,2108,1.1447,2.3657,-1.221,-0.5,0.519
GALAXY_SOUNDS_SOLAR_FLAMES,BIG_ASK_LVL1_P99,100,2107,0.5396,2.4115,-1.8719,-0.76,0.517
GALAXY_SOUNDS_SOLAR_FLAMES,TRADE_BIG_P95(>=4),1,179,0.7207,0.2726,0.4481,0.46,0.508
GALAXY_SOUNDS_SOLAR_FLAMES,TRADE_BIG_P95(>=4),5,179,2.0782,-0.9106,2.9889,1.39,0.503
GALAXY_SOUNDS_SOLAR_FLAMES,TRADE_BIG_P95(>=4),10,179,-0.014,-2.6736,2.6596,0.85,0.492
GALAXY_SOUNDS_SOLAR_FLAMES,TRADE_BIG_P95(>=4),30,179,-6.1955,-3.9339,-2.2617,-0.43,0.447
