sym,day,N,M,n_trades,pnl
PLANETARY_RINGS,3,100,10,900,-149090.0
PLANETARY_RINGS,3,100,20,472,-81400.0
PLANETARY_RINGS,3,100,50,195,-47820.0
PLANETARY_RINGS,3,100,100,98,-11010.0
PLANETARY_RINGS,3,200,5,1633,-254040.0
PLANETARY_RINGS,3,200,10,891,-135940.0
PLANETARY_RINGS,3,200,20,467,-79990.0
PLANETARY_RINGS,3,200,50,193,-36840.0
PLANETARY_RINGS,3,200,100,98,-1470.0
PLANETARY_RINGS,4,10,5,1663,-215700.0
PLANETARY_RINGS,4,10,10,907,-108360.0
PLANETARY_RINGS,4,10,20,476,-36740.0
PLANETARY_RINGS,4,10,50,196,-2200.0
PLANETARY_RINGS,4,10,100,99,-4200.0
PLANETARY_RINGS,4,20,5,1662,-212450.0
PLANETARY_RINGS,4,20,10,907,-89960.0
PLANETARY_RINGS,4,20,20,476,-32370.0
PLANETARY_RINGS,4,20,50,196,8640.0
PLANETARY_RINGS,4,20,100,99,-5120.0
PLANETARY_RINGS,4,50,5,1658,-211700.0
PLANETARY_RINGS,4,50,10,904,-113180.0
PLANETARY_RINGS,4,50,20,474,-53650.0
PLANETARY_RINGS,4,50,50,196,-15790.0
PLANETARY_RINGS,4,50,100,99,-35550.0
PLANETARY_RINGS,4,100,5,1650,-213030.0
PLANETARY_RINGS,4,100,10,900,-109470.0
PLANETARY_RINGS,4,100,20,472,-50390.0
PLANETARY_RINGS,4,100,50,195,-23880.0
PLANETARY_RINGS,4,100,100,99,-10500.0
PLANETARY_RINGS,4,200,5,1633,-226520.0
PLANETARY_RINGS,4,200,10,891,-113290.0
PLANETARY_RINGS,4,200,20,467,-61490.0
PLANETARY_RINGS,4,200,50,193,-27260.0
PLANETARY_RINGS,4,200,100,98,-650.0
SOLAR_FLAMES,2,10,5,1664,-224600.0
SOLAR_FLAMES,2,10,10,908,-134210.0
SOLAR_FLAMES,2,10,20,476,-76910.0
SOLAR_FLAMES,2,10,50,196,-15610.0
SOLAR_FLAMES,2,10,100,99,-19010.0
SOLAR_FLAMES,2,20,5,1662,-232060.0
SOLAR_FLAMES,2,20,10,907,-134420.0
SOLAR_FLAMES,2,20,20,476,-87980.0
SOLAR_FLAMES,2,20,50,196,-16510.0
SOLAR_FLAMES,2,20,100,99,-18040.0
SOLAR_FLAMES,2,50,5,1657,-235060.0
SOLAR_FLAMES,2,50,10,905,-128510.0
SOLAR_FLAMES,2,50,20,474,-68490.0
SOLAR_FLAMES,2,50,50,196,-19160.0
SOLAR_FLAMES,2,50,100,99,-9820.0
SOLAR_FLAMES,2,100,5,1650,-227020.0
SOLAR_FLAMES,2,100,10,900,-121540.0
SOLAR_FLAMES,2,100,20,472,-53520.0
SOLAR_FLAMES,2,100,50,195,-6280.0
SOLAR_FLAMES,2,100,100,99,6960.0
SOLAR_FLAMES,2,200,5,1633,-218680.0
SOLAR_FLAMES,2,200,10,891,-106550.0
SOLAR_FLAMES,2,200,20,467,-37740.0
SOLAR_FLAMES,2,200,50,193,-5950.0
SOLAR_FLAMES,2,200,100,98,14410.0
SOLAR_FLAMES,3,10,5,1663,-225100.0
SOLAR_FLAMES,3,10,10,908,-124220.0
SOLAR_FLAMES,3,10,20,476,-68310.0
SOLAR_FLAMES,3,10,50,196,-3790.0
SOLAR_FLAMES,3,10,100,99,-15360.0
SOLAR_FLAMES,3,20,5,1663,-220080.0
SOLAR_FLAMES,3,20,10,907,-128950.0
SOLAR_FLAMES,3,20,20,476,-65130.0
SOLAR_FLAMES,3,20,50,196,-20890.0
SOLAR_FLAMES,3,20,100,99,3020.0
SOLAR_FLAMES,3,50,5,1658,-244690.0
SOLAR_FLAMES,3,50,10,905,-133310.0
SOLAR_FLAMES,3,50,20,474,-73730.0
SOLAR_FLAMES,3,50,50,196,-29920.0
SOLAR_FLAMES,3,50,100,99,-1280.0
SOLAR_FLAMES,3,100,5,1650,-236110.0
SOLAR_FLAMES,3,100,10,900,-115900.0
SOLAR_FLAMES,3,100,20,472,-52580.0
SOLAR_FLAMES,3,100,50,195,-13040.0
SOLAR_FLAMES,3,100,100,99,-4230.0
SOLAR_FLAMES,3,200,5,1633,-226130.0
SOLAR_FLAMES,3,200,10,891,-118290.0
SOLAR_FLAMES,3,200,20,467,-61030.0
SOLAR_FLAMES,3,200,50,193,-24550.0
SOLAR_FLAMES,3,200,100,98,-28170.0
SOLAR_FLAMES,4,10,5,1662,-226210.0
SOLAR_FLAMES,4,10,10,908,-128390.0
SOLAR_FLAMES,4,10,20,476,-54930.0
SOLAR_FLAMES,4,10,50,196,-26290.0
SOLAR_FLAMES,4,10,100,99,-29630.0
SOLAR_FLAMES,4,20,5,1663,-243820.0
SOLAR_FLAMES,4,20,10,907,-137320.0
SOLAR_FLAMES,4,20,20,476,-85310.0
SOLAR_FLAMES,4,20,50,196,-33430.0
SOLAR_FLAMES,4,20,100,99,-29470.0
SOLAR_FLAMES,4,50,5,1658,-242000.0
SOLAR_FLAMES,4,50,10,905,-136560.0
SOLAR_FLAMES,4,50,20,474,-82170.0
SOLAR_FLAMES,4,50,50,196,-42360.0
SOLAR_FLAMES,4,50,100,99,-17500.0
SOLAR_FLAMES,4,100,5,1650,-242750.0
SOLAR_FLAMES,4,100,10,900,-136140.0
SOLAR_FLAMES,4,100,20,472,-70870.0
SOLAR_FLAMES,4,100,50,195,-31940.0
SOLAR_FLAMES,4,100,100,99,-22890.0
SOLAR_FLAMES,4,200,5,1633,-238240.0
SOLAR_FLAMES,4,200,10,891,-134560.0
SOLAR_FLAMES,4,200,20,467,-84950.0
SOLAR_FLAMES,4,200,50,193,-42080.0
SOLAR_FLAMES,4,200,100,98,-27640.0
SOLAR_WINDS,2,10,5,1662,-210180.0
SOLAR_WINDS,2,10,10,908,-104160.0
SOLAR_WINDS,2,10,20,476,-54570.0
SOLAR_WINDS,2,10,50,196,-14180.0
SOLAR_WINDS,2,10,100,99,-800.0
SOLAR_WINDS,2,20,5,1662,-207150.0
SOLAR_WINDS,2,20,10,907,-106220.0
SOLAR_WINDS,2,20,20,476,-66530.0
SOLAR_WINDS,2,20,50,196,-18200.0
SOLAR_WINDS,2,20,100,99,-15210.0
SOLAR_WINDS,2,50,5,1658,-213720.0
SOLAR_WINDS,2,50,10,905,-108700.0
SOLAR_WINDS,2,50,20,474,-59000.0
SOLAR_WINDS,2,50,50,196,-10850.0
SOLAR_WINDS,2,50,100,99,-18740.0
SOLAR_WINDS,2,100,5,1649,-198660.0
SOLAR_WINDS,2,100,10,900,-103070.0
SOLAR_WINDS,2,100,20,472,-51650.0
SOLAR_WINDS,2,100,50,195,-23190.0
SOLAR_WINDS,2,100,100,98,-8020.0
SOLAR_WINDS,2,200,5,1633,-205880.0
SOLAR_WINDS,2,200,10,891,-108090.0
SOLAR_WINDS,2,200,20,467,-62650.0
SOLAR_WINDS,2,200,50,193,-30430.0
SOLAR_WINDS,2,200,100,98,-11350.0
SOLAR_WINDS,3,10,5,1663,-207820.0
SOLAR_WINDS,3,10,10,907,-113400.0
SOLAR_WINDS,3,10,20,476,-53830.0
SOLAR_WINDS,3,10,50,196,-28470.0
SOLAR_WINDS,3,10,100,99,-9460.0
SOLAR_WINDS,3,20,5,1662,-201470.0
SOLAR_WINDS,3,20,10,907,-108680.0
SOLAR_WINDS,3,20,20,476,-63140.0
SOLAR_WINDS,3,20,50,196,-10180.0
SOLAR_WINDS,3,20,100,99,-12280.0
SOLAR_WINDS,3,50,5,1657,-216930.0
SOLAR_WINDS,3,50,10,905,-120560.0
SOLAR_WINDS,3,50,20,474,-59720.0
SOLAR_WINDS,3,50,50,196,-33050.0
SOLAR_WINDS,3,50,100,99,-17310.0
SOLAR_WINDS,3,100,5,1649,-204800.0
SOLAR_WINDS,3,100,10,900,-102140.0
SOLAR_WINDS,3,100,20,472,-64220.0
SOLAR_WINDS,3,100,50,195,-21940.0
SOLAR_WINDS,3,100,100,99,-9090.0
SOLAR_WINDS,3,200,5,1633,-216600.0
SOLAR_WINDS,3,200,10,891,-124200.0
SOLAR_WINDS,3,200,20,467,-74870.0
SOLAR_WINDS,3,200,50,193,-36560.0
SOLAR_WINDS,3,200,100,98,-34160.0
SOLAR_WINDS,4,10,5,1662,-235050.0
SOLAR_WINDS,4,10,10,908,-113910.0
SOLAR_WINDS,4,10,20,476,-61650.0
SOLAR_WINDS,4,10,50,196,-31500.0
SOLAR_WINDS,4,10,100,99,-24480.0
SOLAR_WINDS,4,20,5,1662,-234940.0
SOLAR_WINDS,4,20,10,907,-137120.0
SOLAR_WINDS,4,20,20,476,-63650.0
SOLAR_WINDS,4,20,50,196,-19490.0
SOLAR_WINDS,4,20,100,99,-32500.0
SOLAR_WINDS,4,50,5,1657,-239080.0
SOLAR_WINDS,4,50,10,905,-136230.0
SOLAR_WINDS,4,50,20,474,-79220.0
SOLAR_WINDS,4,50,50,196,-23350.0
SOLAR_WINDS,4,50,100,99,-17730.0
SOLAR_WINDS,4,100,5,1649,-235370.0
SOLAR_WINDS,4,100,10,900,-124440.0
SOLAR_WINDS,4,100,20,472,-58580.0
SOLAR_WINDS,4,100,50,195,-7480.0
SOLAR_WINDS,4,100,100,99,-3260.0
SOLAR_WINDS,4,200,5,1633,-220340.0
SOLAR_WINDS,4,200,10,891,-115200.0
SOLAR_WINDS,4,200,20,467,-49260.0
SOLAR_WINDS,4,200,50,193,-10000.0
SOLAR_WINDS,4,200,100,98,3830.0
