sym,mode,N,entry,exit,cd,sz,d2,d3,d4,total
SOLAR_WINDS,hybr20,500,16,9.6,20,10,-12905.0,-24740.0,19165.0,-18480.0
SOLAR_WINDS,aggr,500,20,0.0,0,10,-3465.0,-15690.0,23855.0,4700.0
SOLAR_WINDS,hybr1,500,20,0.0,1,10,-845.0,-12440.0,24645.0,11360.0
SOLAR_WINDS,hybr5,500,20,0.0,5,10,-1615.0,-12010.0,19955.0,6330.0
SOLAR_WINDS,hybr20,500,20,0.0,20,10,-6895.0,-16230.0,17485.0,-5640.0
SOLAR_WINDS,aggr,500,20,6.0,0,10,-8425.0,-18520.0,19405.0,-7540.0
SOLAR_WINDS,hybr1,500,20,6.0,1,10,-5115.0,-14710.0,21655.0,1830.0
SOLAR_WINDS,hybr5,500,20,6.0,5,10,-7145.0,-15990.0,21455.0,-1680.0
SOLAR_WINDS,hybr20,500,20,6.0,20,10,-11705.0,-18260.0,19515.0,-10450.0
SOLAR_WINDS,aggr,500,20,12.0,0,10,-12725.0,-24120.0,18735.0,-18110.0
SOLAR_WINDS,hybr1,500,20,12.0,1,10,-8785.0,-18780.0,21385.0,-6180.0
SOLAR_WINDS,hybr5,500,20,12.0,5,10,-7505.0,-18470.0,22525.0,-3450.0
SOLAR_WINDS,hybr20,500,20,12.0,20,10,-13245.0,-22630.0,18625.0,-17250.0
SOLAR_WINDS,aggr,500,30,0.0,0,10,-4785.0,-11350.0,24055.0,7920.0
SOLAR_WINDS,hybr1,500,30,0.0,1,10,-3865.0,-8310.0,24675.0,12500.0
SOLAR_WINDS,hybr5,500,30,0.0,5,10,-3985.0,-9520.0,20605.0,7100.0
SOLAR_WINDS,hybr20,500,30,0.0,20,10,-9195.0,-12650.0,21025.0,-820.0
SOLAR_WINDS,aggr,500,30,9.0,0,10,-8025.0,-19680.0,21045.0,-6660.0
SOLAR_WINDS,hybr1,500,30,9.0,1,10,-5445.0,-15990.0,23055.0,1620.0
SOLAR_WINDS,hybr5,500,30,9.0,5,10,-5575.0,-17360.0,21125.0,-1810.0
SOLAR_WINDS,hybr20,500,30,9.0,20,10,-12395.0,-20830.0,20165.0,-13060.0
SOLAR_WINDS,aggr,500,30,18.0,0,10,-11475.0,-29360.0,18045.0,-22790.0
SOLAR_WINDS,hybr1,500,30,18.0,1,10,-7615.0,-23970.0,20815.0,-10770.0
SOLAR_WINDS,hybr5,500,30,18.0,5,10,-6625.0,-22320.0,22145.0,-6800.0
SOLAR_WINDS,hybr20,500,30,18.0,20,10,-13365.0,-27140.0,18955.0,-21550.0
SOLAR_WINDS,aggr,500,50,0.0,0,10,-1165.0,-13030.0,19935.0,5740.0
SOLAR_WINDS,hybr1,500,50,0.0,1,10,-735.0,-12040.0,20195.0,7420.0
SOLAR_WINDS,hybr5,500,50,0.0,5,10,-3415.0,-13250.0,18175.0,1510.0
SOLAR_WINDS,hybr20,500,50,0.0,20,10,-9165.0,-13310.0,16085.0,-6390.0
SOLAR_WINDS,aggr,500,50,15.0,0,10,-3145.0,-17820.0,23625.0,2660.0
