a,b,kind,entry_z,pnl,trades,entries
CIRCLE,SQUARE,spread,2.5,-8400.0,8,2
RECTANGLE,SQUARE,ratio,2.5,-8610.0,20,5
OVAL,RECTANGLE,ratio,2.5,-8810.0,26,7
SQUARE,TRIANGLE,sum,1.0,-10695.0,54,14
SQUARE,TRIANGLE,sum,1.2,-10700.0,44,11
SQUARE,TRIANGLE,sum,2.0,-10880.0,20,5
RECTANGLE,SQUARE,spread,2.5,-10900.0,24,6
SQUARE,TRIANGLE,sum,1.8,-11200.0,24,6
CIRCLE,OVAL,product,1.0,-11245.0,38,10
CIRCLE,OVAL,sum,1.0,-11615.0,38,10
SQUARE,TRIANGLE,product,2.5,-11640.0,16,4
SQUARE,TRIANGLE,product,1.5,-11980.0,32,8
OVAL,SQUARE,product,1.5,-12630.0,46,12
CIRCLE,SQUARE,ratio,2.0,-12770.0,12,3
OVAL,SQUARE,product,2.0,-13100.0,34,9
OVAL,SQUARE,product,2.5,-13310.0,14,4
OVAL,SQUARE,sum,1.2,-13580.0,62,16
RECTANGLE,SQUARE,ratio,2.0,-13810.0,24,6
CIRCLE,SQUARE,ratio,1.8,-14470.0,16,4
SQUARE,TRIANGLE,product,2.0,-16410.0,20,5
CIRCLE,SQUARE,product,2.0,-16465.0,14,4
CIRCLE,SQUARE,sum,2.0,-16565.0,14,4
SQUARE,TRIANGLE,product,1.8,-16980.0,24,6
CIRCLE,SQUARE,sum,2.5,-17265.0,6,2
SQUARE,TRIANGLE,product,1.0,-17335.0,58,15
OVAL,SQUARE,product,1.8,-17560.0,38,10
CIRCLE,SQUARE,product,2.5,-17915.0,6,2
SQUARE,TRIANGLE,spread,1.5,-18445.0,42,11
SQUARE,TRIANGLE,ratio,1.5,-18575.0,42,11
OVAL,TRIANGLE,product,2.0,-18725.0,42,11
OVAL,TRIANGLE,sum,2.0,-18775.0,42,11
CIRCLE,SQUARE,spread,1.5,-18840.0,20,5
SQUARE,TRIANGLE,spread,2.0,-18905.0,22,6
OVAL,TRIANGLE,sum,1.8,-19545.0,46,12
OVAL,TRIANGLE,product,1.8,-19635.0,46,12
OVAL,RECTANGLE,product,2.5,-20190.0,26,7
SQUARE,TRIANGLE,ratio,2.0,-20255.0,22,6
SQUARE,TRIANGLE,product,1.2,-20385.0,46,12
CIRCLE,SQUARE,spread,2.0,-20630.0,12,3
CIRCLE,SQUARE,sum,1.8,-20705.0,14,4
CIRCLE,SQUARE,product,1.8,-20905.0,14,4
OVAL,RECTANGLE,sum,2.5,-21040.0,26,7
OVAL,SQUARE,product,1.0,-21650.0,102,26
SQUARE,TRIANGLE,spread,1.8,-21775.0,26,7
CIRCLE,SQUARE,spread,1.8,-22180.0,16,4
SQUARE,TRIANGLE,ratio,1.8,-22675.0,26,7
OVAL,SQUARE,product,1.2,-23150.0,62,16
CIRCLE,SQUARE,sum,1.2,-24125.0,22,6
OVAL,TRIANGLE,product,1.0,-24135.0,90,23
CIRCLE,SQUARE,ratio,1.2,-24330.0,24,6
RECTANGLE,SQUARE,ratio,1.8,-24510.0,24,6
CIRCLE,SQUARE,spread,1.2,-24620.0,24,6
CIRCLE,OVAL,ratio,1.0,-25535.0,74,19
CIRCLE,OVAL,spread,1.0,-25615.0,74,19
CIRCLE,OVAL,ratio,1.2,-26065.0,58,15
CIRCLE,SQUARE,sum,1.5,-26475.0,14,4
SQUARE,TRIANGLE,spread,2.5,-26495.0,6,2
CIRCLE,SQUARE,product,1.5,-26565.0,14,4
SQUARE,TRIANGLE,ratio,1.2,-26945.0,42,11
SQUARE,TRIANGLE,ratio,2.5,-26965.0,6,2
CIRCLE,SQUARE,ratio,1.5,-27290.0,16,4
SQUARE,TRIANGLE,spread,1.2,-27305.0,42,11
OVAL,TRIANGLE,sum,1.0,-27375.0,86,22
RECTANGLE,SQUARE,spread,2.0,-28180.0,24,6
OVAL,TRIANGLE,sum,1.5,-28385.0,50,13
OVAL,TRIANGLE,sum,1.2,-28425.0,66,17
OVAL,TRIANGLE,product,1.5,-28585.0,50,13
CIRCLE,SQUARE,product,1.2,-28615.0,18,5
OVAL,TRIANGLE,product,1.2,-28765.0,66,17
CIRCLE,SQUARE,sum,1.0,-29165.0,22,6
CIRCLE,SQUARE,product,1.0,-29275.0,22,6
SQUARE,TRIANGLE,ratio,1.0,-29375.0,58,15
CIRCLE,SQUARE,spread,1.0,-29420.0,24,6
SQUARE,TRIANGLE,spread,1.0,-29655.0,58,15
CIRCLE,OVAL,spread,1.2,-29955.0,50,13
OVAL,RECTANGLE,product,2.0,-30100.0,30,8
OVAL,RECTANGLE,sum,1.0,-30280.0,114,29
CIRCLE,SQUARE,ratio,1.0,-30510.0,24,6
RECTANGLE,SQUARE,ratio,1.5,-31530.0,28,7
CIRCLE,OVAL,spread,2.5,-31535.0,18,5
OVAL,RECTANGLE,sum,2.0,-32620.0,30,8
OVAL,TRIANGLE,sum,2.5,-32625.0,22,6
OVAL,TRIANGLE,product,2.5,-32875.0,22,6
OVAL,RECTANGLE,product,1.8,-32890.0,38,10
RECTANGLE,SQUARE,spread,1.8,-32940.0,24,6
OVAL,RECTANGLE,product,1.2,-33100.0,82,21
CIRCLE,OVAL,spread,1.5,-33405.0,34,9
OVAL,RECTANGLE,product,1.0,-33420.0,106,27
OVAL,RECTANGLE,sum,1.8,-33990.0,38,10
CIRCLE,OVAL,ratio,1.5,-34145.0,34,9
OVAL,RECTANGLE,sum,1.5,-34860.0,54,14
OVAL,RECTANGLE,product,1.5,-35000.0,50,13
OVAL,RECTANGLE,sum,1.2,-36030.0,78,20
CIRCLE,OVAL,ratio,2.5,-36775.0,14,4
RECTANGLE,SQUARE,ratio,1.2,-37010.0,36,9
RECTANGLE,SQUARE,spread,1.5,-37930.0,24,6
CIRCLE,OVAL,spread,2.0,-38265.0,18,5
CIRCLE,OVAL,ratio,2.0,-38665.0,18,5
RECTANGLE,SQUARE,ratio,1.0,-39630.0,44,11
CIRCLE,OVAL,spread,1.8,-40435.0,18,5
RECTANGLE,SQUARE,spread,1.2,-40660.0,36,9
CIRCLE,OVAL,ratio,1.8,-41045.0,18,5
RECTANGLE,SQUARE,spread,1.0,-42550.0,44,11
OVAL,SQUARE,ratio,2.5,-49590.0,6,2
OVAL,SQUARE,ratio,2.0,-52870.0,18,5
OVAL,SQUARE,ratio,1.8,-53910.0,22,6
OVAL,SQUARE,spread,2.5,-55100.0,6,2
OVAL,SQUARE,spread,1.8,-55420.0,22,6
OVAL,SQUARE,ratio,1.5,-56480.0,30,8
OVAL,SQUARE,spread,2.0,-56710.0,14,4
OVAL,SQUARE,spread,1.0,-58310.0,46,12
OVAL,SQUARE,spread,1.5,-59700.0,26,7
OVAL,SQUARE,ratio,1.2,-60900.0,34,9
OVAL,SQUARE,ratio,1.0,-62200.0,42,11
OVAL,SQUARE,spread,1.2,-62650.0,34,9
