a,b,form,beta,entry_z,n_trades,total_pnl,pnl_d2,pnl_d3,pnl_d4,pos_days
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,ols_spread,0.691,1.5,18,9877.0,4844.0,2443.5,2589.5,3
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,ols_spread,0.691,1.8,16,15301.5,7334.5,3977.5,3989.5,3
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,ols_spread,0.691,2.0,14,20280.0,8761.0,6551.5,4967.5,3
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,ols_spread,0.691,2.5,8,21173.0,3493.0,9303.0,8377.0,3
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,spread,1.0,1.0,25,14630.0,-9875.0,25410.0,-905.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,spread,1.0,1.2,19,13025.0,-8205.0,19770.0,1460.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,spread,1.0,1.5,13,7750.0,-13695.0,16000.0,5445.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,spread,1.0,1.8,7,-3975.0,-13475.0,0.0,9500.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,spread,1.0,2.0,7,-675.0,-13215.0,0.0,12540.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,spread,1.0,2.5,4,-2120.0,-11515.0,0.0,9395.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,sum,1.0,1.0,13,-7790.0,-7450.0,3950.0,-4290.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,sum,1.0,1.2,9,-12070.0,-5105.0,665.0,-7630.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,sum,1.0,1.5,9,-4930.0,-2365.0,2820.0,-5385.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,sum,1.0,1.8,9,3030.0,1310.0,5530.0,-3810.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,sum,1.0,2.0,7,1905.0,-3765.0,6815.0,-1145.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,sum,1.0,2.5,5,3520.0,180.0,0.0,3340.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,ols_spread,0.401,1.0,28,23461.0,-10124.0,14401.0,19184.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,ols_spread,0.401,1.2,16,11701.0,-9031.0,10648.0,10084.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,ols_spread,0.401,1.5,8,2745.0,-12053.0,10319.0,4479.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,ols_spread,0.401,1.8,2,-11829.0,-11829.0,0.0,0.0,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,ols_spread,0.401,2.0,2,-11617.0,-11617.0,0.0,0.0,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,ols_spread,0.401,2.5,2,-10172.0,-10172.0,0.0,0.0,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,spread,1.0,1.0,16,-7940.0,3190.0,-12060.0,930.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,spread,1.0,1.2,14,-4605.0,3285.0,-11190.0,3300.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,spread,1.0,1.5,8,-5075.0,-3165.0,-9915.0,8005.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,spread,1.0,1.8,8,2815.0,-1120.0,-8695.0,12630.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,spread,1.0,2.0,6,-7815.0,-140.0,-7675.0,0.0,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,spread,1.0,2.5,6,-555.0,3290.0,-3845.0,0.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,sum,1.0,1.0,10,-14220.0,-13325.0,3350.0,-4245.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,sum,1.0,1.2,10,-10755.0,-13185.0,5485.0,-3055.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,sum,1.0,1.5,10,-3605.0,-12835.0,10285.0,-1055.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,sum,1.0,1.8,8,-5235.0,-12345.0,6235.0,875.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,sum,1.0,2.0,8,-1740.0,-11775.0,7545.0,2490.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,sum,1.0,2.5,8,7460.0,-9245.0,10520.0,6185.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,ols_spread,-0.016,1.0,22,12360.0,-9270.0,7735.0,13895.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,ols_spread,-0.016,1.2,14,5070.0,-8225.0,6905.0,6390.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,ols_spread,-0.016,1.5,12,8730.0,-5385.0,9955.0,4160.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,ols_spread,-0.016,1.8,8,3095.0,-9285.0,6425.0,5955.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,ols_spread,-0.016,2.0,4,-3275.0,-10315.0,0.0,7040.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,ols_spread,-0.016,2.5,2,-9395.0,-9395.0,0.0,0.0,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,spread,1.0,1.0,10,-23990.0,-9860.0,0.0,-14130.0,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,spread,1.0,1.2,8,-22570.0,-9700.0,0.0,-12870.0,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,spread,1.0,1.5,8,-20315.0,-9355.0,0.0,-10960.0,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,spread,1.0,1.8,4,-18950.0,-10825.0,0.0,-8125.0,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,spread,1.0,2.0,4,-15290.0,-10670.0,0.0,-4620.0,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,spread,1.0,2.5,2,-10380.0,-10380.0,0.0,0.0,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,sum,1.0,1.0,17,6885.0,-4555.0,6680.0,4760.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,sum,1.0,1.2,17,16505.0,-1910.0,8825.0,9590.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,sum,1.0,1.5,12,15505.0,1530.0,5700.0,8275.0,3
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,sum,1.0,1.8,10,18995.0,5600.0,0.0,13395.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,sum,1.0,2.0,10,26745.0,9965.0,0.0,16780.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,sum,1.0,2.5,4,2760.0,-4315.0,0.0,7075.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,ols_spread,-0.028,1.0,22,12210.0,-9590.0,7585.0,14215.0,2
