symbol,ema_n,theta,exit_t,PnL,nfb,nfs,nx
POLYESTER,20,0.2,20,0.0,0,0,0
POLYESTER,20,0.2,50,0.0,0,0,0
POLYESTER,20,0.2,200,0.0,0,0,0
POLYESTER,20,0.3,5,0.0,0,0,0
POLYESTER,20,0.3,20,0.0,0,0,0
POLYESTER,20,0.3,50,0.0,0,0,0
POLYESTER,20,0.3,200,0.0,0,0,0
POLYESTER,20,0.5,5,0.0,0,0,0
POLYESTER,20,0.5,20,0.0,0,0,0
POLYESTER,20,0.5,50,0.0,0,0,0
POLYESTER,20,0.5,200,0.0,0,0,0
POLYESTER,50,0.1,5,0.0,0,0,0
POLYESTER,50,0.1,20,0.0,0,0,0
POLYESTER,50,0.1,50,0.0,0,0,0
POLYESTER,50,0.1,200,0.0,0,0,0
POLYESTER,50,0.2,5,0.0,0,0,0
POLYESTER,50,0.2,20,0.0,0,0,0
POLYESTER,50,0.2,50,0.0,0,0,0
POLYESTER,50,0.2,200,0.0,0,0,0
POLYESTER,50,0.3,5,0.0,0,0,0
POLYESTER,50,0.3,20,0.0,0,0,0
POLYESTER,50,0.3,50,0.0,0,0,0
POLYESTER,50,0.3,200,0.0,0,0,0
POLYESTER,50,0.5,5,0.0,0,0,0
POLYESTER,50,0.5,20,0.0,0,0,0
POLYESTER,50,0.5,50,0.0,0,0,0
POLYESTER,50,0.5,200,0.0,0,0,0
SUEDE,10,0.1,5,-2370.0,135,157,222
SUEDE,10,0.1,20,-2608.0,135,157,185
SUEDE,10,0.1,50,-4861.0,135,157,133
SUEDE,10,0.1,200,-153.0,135,157,45
SUEDE,10,0.2,5,17.0,0,1,1
SUEDE,10,0.2,20,-2.0,0,1,1
SUEDE,10,0.2,50,-154.0,0,1,1
SUEDE,10,0.2,200,-142.0,0,1,1
SUEDE,10,0.3,5,0.0,0,0,0
SUEDE,10,0.3,20,0.0,0,0,0
SUEDE,10,0.3,50,0.0,0,0,0
SUEDE,10,0.3,200,0.0,0,0,0
SUEDE,10,0.5,5,0.0,0,0,0
SUEDE,10,0.5,20,0.0,0,0,0
SUEDE,10,0.5,50,0.0,0,0,0
SUEDE,10,0.5,200,0.0,0,0,0
SUEDE,20,0.1,5,-41.0,7,17,14
SUEDE,20,0.1,20,1.0,7,17,14
SUEDE,20,0.1,50,-1199.0,7,17,14
SUEDE,20,0.1,200,-1907.0,7,17,13
SUEDE,20,0.2,5,0.0,0,0,0
SUEDE,20,0.2,20,0.0,0,0,0
SUEDE,20,0.2,50,0.0,0,0,0
SUEDE,20,0.2,200,0.0,0,0,0
SUEDE,20,0.3,5,0.0,0,0,0
SUEDE,20,0.3,20,0.0,0,0,0
SUEDE,20,0.3,50,0.0,0,0,0
SUEDE,20,0.3,200,0.0,0,0,0
SUEDE,20,0.5,5,0.0,0,0,0
SUEDE,20,0.5,20,0.0,0,0,0
SUEDE,20,0.5,50,0.0,0,0,0
SUEDE,20,0.5,200,0.0,0,0,0
SUEDE,50,0.1,5,0.0,0,0,0
SUEDE,50,0.1,20,0.0,0,0,0
SUEDE,50,0.1,50,0.0,0,0,0
SUEDE,50,0.1,200,0.0,0,0,0
SUEDE,50,0.2,5,0.0,0,0,0
SUEDE,50,0.2,20,0.0,0,0,0
SUEDE,50,0.2,50,0.0,0,0,0
SUEDE,50,0.2,200,0.0,0,0,0
SUEDE,50,0.3,5,0.0,0,0,0
SUEDE,50,0.3,20,0.0,0,0,0
SUEDE,50,0.3,50,0.0,0,0,0
SUEDE,50,0.3,200,0.0,0,0,0
SUEDE,50,0.5,5,0.0,0,0,0
SUEDE,50,0.5,20,0.0,0,0,0
SUEDE,50,0.5,50,0.0,0,0,0
SUEDE,50,0.5,200,0.0,0,0,0
