a,b,form,beta,entry_z,n_trades,total_pnl,pnl_d2,pnl_d3,pnl_d4,pos_days
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,sum,1.0,1.0,35,-1230.0,14150.0,8655.0,-24035.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,sum,1.0,1.2,25,-4150.0,11170.0,7630.0,-22950.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,sum,1.0,1.5,21,2225.0,16990.0,7030.0,-21795.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,sum,1.0,1.8,13,-10050.0,7020.0,2895.0,-19965.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,sum,1.0,2.0,11,-9690.0,5645.0,3730.0,-19065.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,sum,1.0,2.5,11,-680.0,9155.0,6105.0,-15940.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,ols_spread,-0.057,1.0,39,18583.0,12379.5,-2726.0,8929.5,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,ols_spread,-0.057,1.2,12,1562.5,1100.5,-5874.5,6336.5,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,ols_spread,-0.057,1.5,6,-1694.5,-577.5,-5185.5,4068.5,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,ols_spread,-0.057,1.8,6,820.0,-383.5,-4473.0,5676.5,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,ols_spread,-0.057,2.0,4,-4193.5,-192.5,-4001.0,0.0,0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,ols_spread,-0.057,2.5,4,-2423.0,517.5,-2940.5,0.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,spread,1.0,1.0,28,12360.0,15315.0,-2580.0,-375.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,spread,1.0,1.2,20,7575.0,12985.0,-6175.0,765.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,spread,1.0,1.5,12,3705.0,6180.0,-5260.0,2785.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,spread,1.0,1.8,8,2110.0,1760.0,-4510.0,4860.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,spread,1.0,2.0,6,2300.0,70.0,-3845.0,6075.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,spread,1.0,2.5,6,13335.0,965.0,3290.0,9080.0,3
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,sum,1.0,1.0,44,27640.0,4355.0,13565.0,9720.0,3
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,sum,1.0,1.2,32,19460.0,3555.0,8190.0,7715.0,3
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,sum,1.0,1.5,20,16465.0,565.0,5080.0,10820.0,3
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,sum,1.0,1.8,14,19575.0,-1480.0,7175.0,13880.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,sum,1.0,2.0,14,24745.0,-630.0,8485.0,16890.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,sum,1.0,2.5,6,1520.0,1520.0,0.0,0.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,ols_spread,-0.24,1.0,34,16377.0,8847.0,-976.0,8506.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,ols_spread,-0.24,1.2,10,-2267.0,940.0,-6722.0,3515.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,ols_spread,-0.24,1.5,6,-5866.0,139.0,-6005.0,0.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,ols_spread,-0.24,1.8,4,-6012.0,-726.0,-5286.0,0.0,0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,ols_spread,-0.24,2.0,4,-4954.0,-544.0,-4410.0,0.0,0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,ols_spread,-0.24,2.5,4,-3204.0,-8.0,-3196.0,0.0,0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.0,11,-7730.0,-2900.0,-4855.0,25.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.2,6,-12290.0,-7365.0,-3740.0,-1185.0,0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.5,6,-5995.0,-6530.0,-2225.0,2760.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.8,6,-970.0,-6435.0,310.0,5155.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,2.0,6,2565.0,-6060.0,1695.0,6930.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,2.5,2,-3805.0,-3805.0,0.0,0.0,0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.0,16,2410.0,-2790.0,2040.0,3160.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.2,14,5560.0,-2870.0,3000.0,5430.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.5,14,13420.0,-1360.0,5340.0,9440.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.8,6,1025.0,-3240.0,0.0,4265.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,2.0,6,2875.0,-2725.0,0.0,5600.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,2.5,6,12655.0,2940.0,0.0,9715.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.197,1.0,30,11861.0,8453.0,-4670.0,8078.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.197,1.2,16,7720.0,4247.0,-3521.0,6994.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.197,1.5,8,35.0,2170.0,-6921.0,4786.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.197,1.8,6,-4098.0,2381.0,-6479.0,0.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.197,2.0,6,-3437.0,2723.0,-6160.0,0.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.197,2.5,4,-3076.0,1511.0,-4587.0,0.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,spread,1.0,1.0,27,-1895.0,-1250.0,18050.0,-18695.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,spread,1.0,1.2,21,-9475.0,-4155.0,11995.0,-17315.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,spread,1.0,1.5,15,-12240.0,-4965.0,8335.0,-15610.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,spread,1.0,1.8,7,-21385.0,-8390.0,0.0,-12995.0,0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,spread,1.0,2.0,7,-18180.0,-7180.0,0.0,-11000.0,0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,spread,1.0,2.5,5,-15140.0,-7750.0,0.0,-7390.0,0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,sum,1.0,1.0,19,-11105.0,-4875.0,2065.0,-8295.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,sum,1.0,1.2,13,-17350.0,-5235.0,4750.0,-16865.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,sum,1.0,1.5,13,-7485.0,-2890.0,10015.0,-14610.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,sum,1.0,1.8,9,-13640.0,-4525.0,3360.0,-12475.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,sum,1.0,2.0,9,-3670.0,-2800.0,9985.0,-10855.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,sum,1.0,2.5,5,-9200.0,-2030.0,0.0,-7170.0,0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,ols_spread,-0.602,1.0,15,-19303.0,-8656.0,7685.0,-18332.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,ols_spread,-0.602,1.2,11,-20099.0,-8730.0,5463.0,-16832.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,ols_spread,-0.602,1.5,11,-11407.0,-7318.0,10808.0,-14897.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,ols_spread,-0.602,1.8,9,-11112.0,-6121.0,7000.0,-11991.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,ols_spread,-0.602,2.0,7,-14405.0,-4200.0,0.0,-10205.0,0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,ols_spread,-0.602,2.5,5,-8403.0,-2075.0,0.0,-6328.0,0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.0,9,-33345.0,-7125.0,5035.0,-31255.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.2,9,-27910.0,-4850.0,6670.0,-29730.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.5,5,-37815.0,-10185.0,0.0,-27630.0,0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.8,5,-34025.0,-9440.0,0.0,-24585.0,0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,2.0,5,-29180.0,-8435.0,0.0,-20745.0,0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,2.5,5,-17555.0,-3180.0,0.0,-14375.0,0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.0,25,-15430.0,6535.0,-16510.0,-5455.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.2,17,-12890.0,4660.0,-14895.0,-2655.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.5,9,-8795.0,1275.0,-12455.0,2385.0,2
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.8,5,-13280.0,0.0,-20170.0,6890.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,2.0,3,-21360.0,0.0,-19940.0,-1420.0,0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,2.5,3,-16630.0,0.0,-19470.0,2840.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.815,1.0,19,-22994.0,4687.0,-15307.0,-12374.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.815,1.2,13,-22007.0,3063.0,-13790.0,-11280.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.815,1.5,5,-27618.0,956.0,-19428.0,-9146.0,1
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.815,1.8,3,-26205.0,0.0,-19209.0,-6996.0,0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.815,2.0,3,-24774.0,0.0,-19209.0,-5565.0,0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.815,2.5,3,-17466.0,0.0,-18502.0,1036.0,1
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.0,33,26640.0,10695.0,6895.0,9050.0,3
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.2,27,29925.0,8900.0,5545.0,15480.0,3
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.5,18,22535.0,4925.0,3765.0,13845.0,3
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.8,10,965.0,3135.0,0.0,-2170.0,1
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,2.0,10,2590.0,4155.0,0.0,-1565.0,1
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,2.5,6,-1280.0,-1390.0,0.0,110.0,1
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.0,20,11455.0,2890.0,7565.0,1000.0,3
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.2,12,-885.0,2030.0,1590.0,-4505.0,2
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.5,10,1445.0,1780.0,2755.0,-3090.0,2
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.8,8,1785.0,-560.0,4220.0,-1875.0,1
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,2.0,6,200.0,-4920.0,5550.0,-430.0,1
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,2.5,6,8695.0,-3495.0,9705.0,2485.0,2
